id,H,T,MWDIR
202106171533.jpg,0.11,3.8,999.0
202107050033.jpg,0.19,2.57,262.0
202107231233.jpg,0.12,2.17,294.0
202105171833.jpg,0.09,99.0,27.0
202107231733.jpg,0.08,99.0,111.0
202107201433.jpg,0.19,2.39,310.0
202105231733.jpg,0.08,3.19,153.0
202107091933.jpg,0.36,4.55,349.0
202105142033.jpg,0.08,99.0,276.0
202107031633.jpg,0.28,3.28,261.0
202105222133.jpg,0.08,2.62,331.0
202106161133.jpg,0.51,4.51,999.0
202105291533.jpg,0.9,5.0,999.0
202106091633.jpg,0.17,2.05,999.0
202105182033.jpg,0.08,5.51,121.0
202105161533.jpg,0.17,99.0,6.0
202107220133.jpg,0.6,4.26,1.0
202106281533.jpg,0.14,4.45,999.0
202107181433.jpg,0.37,3.77,35.0
202107161633.jpg,0.63,3.62,354.0
202105232133.jpg,0.33,2.5,5.0
202105312033.jpg,0.25,2.41,999.0
202107141933.jpg,0.19,2.22,245.0
202106272233.jpg,0.27,2.82,999.0
202107131133.jpg,0.17,3.02,321.0
202106232033.jpg,0.26,99.0,999.0
202107290033.jpg,0.28,2.21,250.0
202105171133.jpg,0.07,2.34,52.0
202107231633.jpg,0.11,2.34,24.0
202105221233.jpg,0.1,2.14,153.0
202107070033.jpg,0.18,2.3,264.0
202105231433.jpg,0.1,99.0,231.0
202107171933.jpg,0.65,3.97,32.0
202107052033.jpg,0.38,3.23,259.0
202107262033.jpg,0.11,2.15,63.0
202105261833.jpg,0.09,3.18,999.0
202105311333.jpg,0.14,2.17,999.0
202107261933.jpg,0.1,2.38,3.0
202106122033.jpg,0.3,2.97,999.0
202106251733.jpg,0.28,2.79,999.0
202107252033.jpg,0.15,2.33,270.0
202106161933.jpg,0.42,4.2,999.0
202107291233.jpg,0.33,3.37,313.0
202105101133.jpg,0.83,4.79,90.0
202107242133.jpg,0.34,3.57,301.0
202107061233.jpg,0.21,2.63,268.0
202105301333.jpg,0.31,3.95,999.0
202106171833.jpg,0.18,99.0,999.0
202105271833.jpg,1.46,5.51,999.0
202105201433.jpg,0.2,99.0,169.0
202107261333.jpg,0.13,2.32,17.0
202105211633.jpg,0.17,99.0,270.0
202107071933.jpg,0.7,3.73,6.0
202105091233.jpg,0.64,3.9,51.0
202107231433.jpg,0.09,2.05,176.0
202107071533.jpg,0.51,5.56,341.0
202106271433.jpg,0.37,3.09,999.0
202106281933.jpg,0.18,99.0,999.0
202107170033.jpg,0.77,4.96,10.0
202105230033.jpg,0.14,99.0,126.0
202106111233.jpg,0.08,2.61,999.0
202106240033.jpg,0.35,2.33,999.0
202106281733.jpg,0.21,99.0,999.0
202107011533.jpg,1.0,5.17,19.0
202105181433.jpg,0.24,2.06,83.0
202105141433.jpg,0.09,2.33,292.0
202105272233.jpg,1.19,6.19,999.0
202106091733.jpg,0.18,2.23,999.0
202105292033.jpg,1.32,4.8,999.0
202105302233.jpg,0.17,4.03,999.0
202107191433.jpg,0.22,2.74,45.0
202105152033.jpg,0.06,4.6,166.0
202106101833.jpg,0.18,99.0,999.0
202106251233.jpg,0.65,3.87,999.0
202106070133.jpg,0.23,99.0,999.0
202107211933.jpg,0.47,5.41,326.0
202106151233.jpg,0.43,3.68,999.0
202106241233.jpg,0.34,2.79,999.0
202106081433.jpg,0.09,3.45,999.0
202107211733.jpg,0.49,5.94,325.0
202106041133.jpg,0.25,2.45,999.0
202105241133.jpg,0.44,5.61,62.0
202106051533.jpg,0.22,2.69,999.0
202106011433.jpg,0.15,99.0,999.0
202106030133.jpg,0.15,2.34,999.0
202107120033.jpg,0.5,3.92,4.0
202105151233.jpg,0.13,99.0,229.0
