id,H,T,MWDIR
202105081733.jpg,0.36,2.62,84.0
202105082033.jpg,0.39,2.74,249.0
202105082133.jpg,0.37,3.21,244.0
202105082233.jpg,0.27,2.98,173.0
202105091133.jpg,0.62,3.07,58.0
202105091333.jpg,0.63,3.78,49.0
202105091433.jpg,0.64,3.66,39.0
202105091533.jpg,0.65,3.63,20.0
202105091733.jpg,0.55,3.34,349.0
202105091833.jpg,0.6,3.35,350.0
202105091933.jpg,0.67,3.54,355.0
202105092033.jpg,0.87,4.34,2.0
202105092133.jpg,1.12,5.65,169.0
202105092233.jpg,1.0,5.23,168.0
202105101233.jpg,0.91,4.2,88.0
202105101333.jpg,0.94,4.5,61.0
202105101533.jpg,1.19,4.19,85.0
202105101833.jpg,0.88,3.87,88.0
202105101933.jpg,0.95,4.28,78.0
202105102033.jpg,0.68,3.78,75.0
202105102133.jpg,0.62,3.61,82.0
202105110033.jpg,0.58,3.62,76.0
202105110133.jpg,0.74,3.6,103.0
202105111233.jpg,0.59,4.21,55.0
202105111433.jpg,0.54,3.83,84.0
202105111533.jpg,0.6,2.98,91.0
202105111633.jpg,0.58,3.08,83.0
202105111733.jpg,0.69,3.89,91.0
202105111833.jpg,0.59,3.75,86.0
202105111933.jpg,0.58,3.7,70.0
202105112033.jpg,0.56,3.47,69.0
202105112133.jpg,0.65,4.24,86.0
202105112233.jpg,0.69,4.62,80.0
202105120033.jpg,0.69,4.94,95.0
202105120133.jpg,0.65,4.56,86.0
202105121133.jpg,0.41,3.34,96.0
202105121233.jpg,0.36,3.18,95.0
202105121333.jpg,0.34,3.24,94.0
202105121433.jpg,0.35,3.75,86.0
202105121633.jpg,0.28,3.01,96.0
202105121733.jpg,0.25,2.85,86.0
202105121833.jpg,0.24,2.54,89.0
202105121933.jpg,0.21,2.94,81.0
202105122033.jpg,0.2,2.97,89.0
202105122233.jpg,0.15,2.73,78.0
202105130033.jpg,0.12,2.66,62.0
202105130133.jpg,0.13,99.0,107.0
202105131133.jpg,0.06,5.1,289.0
202105131233.jpg,0.06,2.23,171.0
202105131333.jpg,0.06,3.53,233.0
202105131433.jpg,0.06,2.45,120.0
