id,H,T,MWDIR
201605061234.jpg,0.21,6.92,89.0
201605061334.jpg,0.95,6.18,234.0
201605061434.jpg,0.16,4.09,161.0
201605061534.jpg,0.15,4.12,137.0
201605061634.jpg,0.15,4.07,317.0
201605061734.jpg,0.15,3.07,109.0
201605061834.jpg,0.11,4.15,999.0
201605061934.jpg,0.09,4.18,87.0
201605062034.jpg,0.11,3.45,179.0
201605062133.jpg,0.19,1.63,182.0
201605062234.jpg,0.22,1.72,206.0
201605070034.jpg,0.17,1.54,245.0
201605071234.jpg,0.99,99.0,340.0
201605071334.jpg,1.33,99.0,355.0
201605071434.jpg,2.0,99.0,352.0
201605071534.jpg,2.42,99.0,5.0
201605071634.jpg,2.41,99.0,2.0
201605071734.jpg,2.64,99.0,18.0
201605071834.jpg,2.52,99.0,11.0
201605071934.jpg,2.31,99.0,6.0
201605072033.jpg,1.76,99.0,337.0
201605072134.jpg,1.61,99.0,355.0
201605072234.jpg,1.53,99.0,359.0
201605080034.jpg,1.26,99.0,999.0
201605081234.jpg,0.31,99.0,276.0
201605081334.jpg,0.3,99.0,313.0
201605081434.jpg,0.28,99.0,33.0
201605081534.jpg,0.25,99.0,199.0
201605081634.jpg,0.23,99.0,87.0
201605081734.jpg,0.22,99.0,185.0
201605081834.jpg,0.2,99.0,999.0
201605081934.jpg,0.18,4.0,30.0
201605082034.jpg,0.17,4.29,999.0
201605082134.jpg,0.28,1.69,55.0
201605082234.jpg,0.28,2.05,78.0
201605090034.jpg,0.17,2.02,250.0
201605091234.jpg,0.47,2.31,110.0
201605091334.jpg,0.48,2.33,107.0
201605091434.jpg,0.53,2.37,137.0
201605091534.jpg,0.5,2.61,81.0
201605091634.jpg,0.62,2.62,128.0
201605091734.jpg,0.58,2.56,92.0
201605091834.jpg,0.83,2.78,999.0
201605091933.jpg,0.91,2.89,999.0
201605092033.jpg,0.71,2.93,87.0
201605092134.jpg,0.67,3.16,999.0
201605092233.jpg,0.56,2.87,72.0
201605100034.jpg,0.57,2.73,71.0
201605101233.jpg,0.51,2.51,87.0
201605101334.jpg,0.48,2.1,108.0
201605101433.jpg,0.45,2.01,130.0
201605101534.jpg,0.4,99.0,115.0
201605101634.jpg,0.32,99.0,117.0
201605101734.jpg,0.27,2.21,999.0
201605101834.jpg,0.26,2.21,221.0
201605101934.jpg,0.22,2.21,40.0
201605102034.jpg,0.31,99.0,249.0
201605102134.jpg,0.28,99.0,999.0
201605110033.jpg,0.25,2.25,129.0
201605111234.jpg,0.15,4.08,999.0
201605111333.jpg,0.17,99.0,999.0
201605111433.jpg,0.17,99.0,999.0
201605111533.jpg,0.14,2.44,358.0
201605111634.jpg,0.14,4.27,159.0
201605111734.jpg,0.14,4.12,999.0
201605111834.jpg,0.14,3.7,999.0
201605111934.jpg,0.14,4.18,-1.0
201605112033.jpg,0.16,4.18,999.0
201605112134.jpg,0.19,3.38,999.0
201605112233.jpg,0.18,3.69,214.0
201605120033.jpg,0.2,4.26,151.0
201605121234.jpg,0.15,2.28,274.0
201605121334.jpg,0.13,2.17,38.0
201605121434.jpg,0.11,99.0,234.0
201605121534.jpg,0.1,99.0,999.0
201605121633.jpg,0.08,99.0,155.0
201605121733.jpg,0.08,99.0,999.0
201605121833.jpg,0.1,99.0,-1.0
201605121933.jpg,0.12,99.0,352.0
201605122033.jpg,0.39,2.25,260.0
201605122134.jpg,0.65,2.99,999.0
201605122234.jpg,0.62,3.36,299.0
201605130034.jpg,0.66,3.76,290.0
201605131434.jpg,0.21,3.5,351.0
201605131534.jpg,0.19,3.55,26.0
201605131634.jpg,0.18,3.32,999.0
201605131934.jpg,0.16,2.9,355.0
201605132034.jpg,0.17,3.15,342.0
201605132133.jpg,0.15,2.71,352.0
201605132234.jpg,0.15,2.66,349.0
201605140034.jpg,1.82,2.07,999.0
201605141233.jpg,1.48,2.07,358.0
201605141334.jpg,1.53,2.07,6.0
201605141434.jpg,1.51,2.07,354.0
201605141534.jpg,1.52,2.07,999.0
201605141634.jpg,1.49,2.07,331.0
201605141934.jpg,1.27,2.07,319.0
201605142034.jpg,1.18,2.07,999.0
201605142134.jpg,1.01,2.07,14.0
201605142234.jpg,0.98,2.07,220.0
201605150034.jpg,0.95,2.07,354.0
201605151234.jpg,1.24,4.62,999.0
201605151334.jpg,1.1,4.82,999.0
201605151434.jpg,1.08,4.95,999.0
201605151534.jpg,0.99,5.23,4.0
201605151734.jpg,0.71,5.35,351.0
201605151834.jpg,0.64,5.34,318.0
201605151934.jpg,0.55,5.61,8.0
201605152034.jpg,0.5,5.41,325.0
201605152134.jpg,0.47,5.36,16.0
201605152234.jpg,0.42,5.34,158.0
201605160034.jpg,0.53,2.28,340.0
201605161334.jpg,0.61,3.75,271.0
201605161434.jpg,0.56,3.45,275.0
201605161534.jpg,0.45,3.13,256.0
201605161634.jpg,0.34,2.92,265.0
201605161734.jpg,0.31,2.85,291.0
201605161834.jpg,0.32,2.97,287.0
201605161934.jpg,0.36,2.6,243.0
201605162034.jpg,0.49,2.6,999.0
201605162134.jpg,0.47,2.94,999.0
201605162234.jpg,0.55,2.83,260.0
201605170034.jpg,0.58,3.18,999.0
201605171233.jpg,0.52,3.42,999.0
201605171334.jpg,0.57,3.74,308.0
201605171433.jpg,0.81,3.98,39.0
201605171533.jpg,0.88,4.84,119.0
201605171633.jpg,0.82,4.81,343.0
201605171734.jpg,0.83,4.81,341.0
201605171834.jpg,0.96,5.26,3.0
201605171934.jpg,0.94,5.16,6.0
201605172034.jpg,1.08,5.16,334.0
201605172134.jpg,1.02,5.33,351.0
201605172234.jpg,0.97,5.16,323.0
201605180034.jpg,0.87,5.04,358.0
201605181234.jpg,0.47,4.18,333.0
201605181334.jpg,0.43,4.22,36.0
201605181434.jpg,0.54,4.13,999.0
201605181534.jpg,0.58,4.17,999.0
201605181634.jpg,0.65,3.71,19.0
201605181734.jpg,0.61,3.33,999.0
201605181834.jpg,0.58,3.33,999.0
201605181934.jpg,0.45,3.44,332.0
201605182034.jpg,0.43,3.39,102.0
201605182134.jpg,0.43,3.8,999.0
201605182234.jpg,0.42,3.73,49.0
201605191334.jpg,0.24,2.03,999.0
201605191434.jpg,0.28,99.0,15.0
201605191534.jpg,0.26,2.01,26.0
201605191634.jpg,0.23,99.0,17.0
201605191734.jpg,0.22,99.0,999.0
201605191834.jpg,0.2,99.0,353.0
201605191934.jpg,0.23,99.0,999.0
201605192034.jpg,0.26,99.0,55.0
201605192134.jpg,0.21,99.0,81.0
201605192234.jpg,0.18,99.0,63.0
201605201234.jpg,0.13,2.2,999.0
