id, H, T, MWDIR
201306131133.jpg,1.36,4.98,4.00
201306131333.jpg,1.43,4.79,356.00
201306131533.jpg,1.59,4.81,266.00
201306131733.jpg,1.44,4.66,338.00
201306131934.jpg,1.74,5.09,1.00
201306132134.jpg,2.03,5.57,33.00
201306141133.jpg,1.21,5.51,180.00
201306141333.jpg,0.87,5.07,23.00
201306141534.jpg,0.75,4.65,11.00
201306141734.jpg,0.58,4.85,4.00
201306141934.jpg,0.60,4.44,10.00
201306142134.jpg,0.60,3.97,0.00
201306151134.jpg,0.21,3.48,360.00
201306151303.jpg,0.29,2.98,199.00
201306151934.jpg,0.36,2.35,242.00
201306152134.jpg,0.20,2.29,-1.00
201306161133.jpg,0.54,3.92,305.00
201306161304.jpg,0.47,3.25,298.00
201306161533.jpg,0.31,2.49,-1.00
201306161734.jpg,0.22,2.77,226.00
201306161934.jpg,0.18,3.04,341.00
201306162134.jpg,0.17,2.11,-1.00
201306172134.jpg,0.12,2.32,304.00
201307252004.jpg,0.21,3.84,4.00
201307252134.jpg,0.19,3.92,11.00
201307260004.jpg,0.19,2.07,0.00
201307261203.jpg,0.38,2.18,200.00
201307261403.jpg,0.40,2.19,0.00
201307261604.jpg,0.37,2.62,90.00
201307261804.jpg,0.37,2.94,90.00
201307262003.jpg,0.43,3.32,262.00
201307262203.jpg,0.61,3.14,90.00
201307270004.jpg,0.50,3.80,274.00
201307271004.jpg,0.56,3.12,298.00
201307271204.jpg,0.87,3.89,347.00
201307271403.jpg,1.15,4.56,3.00
201307271604.jpg,1.58,5.38,353.00
201307271804.jpg,1.46,6.02,352.00
201307272004.jpg,1.54,5.70,7.00
201307272204.jpg,1.48,5.53,21.00
201307280004.jpg,1.53,5.27,346.00
201307281004.jpg,1.32,4.59,-1.00
201307281203.jpg,1.38,4.48,297.00
201307281404.jpg,1.44,4.44,306.00
201307281604.jpg,1.00,4.14,293.00
201307281804.jpg,0.73,4.34,339.00
201307282004.jpg,0.79,3.46,180.00
201307282204.jpg,0.61,3.69,306.00
201307290004.jpg,0.53,4.94,357.00
201307291204.jpg,0.85,4.50,344.00
201307291403.jpg,0.85,4.63,359.00
201307291604.jpg,0.81,5.08,355.00
201307291804.jpg,0.81,5.47,9.00
201307292004.jpg,0.89,5.67,358.00
201307292204.jpg,0.90,5.72,25.00
201307300004.jpg,0.66,5.33,5.00
201307301004.jpg,0.31,4.79,11.00
201307301204.jpg,0.30,4.40,17.00
201307301404.jpg,0.24,4.44,10.00
201307301604.jpg,0.18,4.04,32.00
201307301804.jpg,0.22,4.17,352.00
201307302003.jpg,0.17,4.18,0.00
201307302204.jpg,0.17,3.27,125.00
201307312203.jpg,0.33,2.05,320.00
201308010004.jpg,0.42,2.75,340.00
201308011004.jpg,0.48,3.36,314.00
201308011203.jpg,0.46,3.30,313.00
201308011404.jpg,0.52,3.36,302.00
201308011604.jpg,0.55,3.61,309.00
201308011804.jpg,0.47,3.80,325.00
201308012004.jpg,0.43,3.72,339.00
201308012204.jpg,0.35,3.77,353.00
201308020004.jpg,0.28,3.59,356.00
201308021203.jpg,0.41,2.09,189.00
201308021404.jpg,0.30,2.13,194.00
201308021604.jpg,0.43,2.40,202.00
201308021804.jpg,0.32,2.17,206.00
201308022204.jpg,0.23,2.02,258.00
201308030004.jpg,0.21,2.42,257.00
201308031203.jpg,0.30,2.44,-1.00
201308031404.jpg,0.35,3.08,331.00
201308031603.jpg,0.47,3.17,332.00
201308031804.jpg,0.79,3.87,340.00
201308032004.jpg,0.77,3.79,-1.00
201308032204.jpg,0.69,4.10,341.00
201308040004.jpg,0.52,4.21,342.00
201308041004.jpg,0.38,3.56,13.00
201308041204.jpg,0.37,3.85,5.00
201308041404.jpg,0.43,2.97,2.00
201308041604.jpg,0.56,3.73,-1.00
201308041804.jpg,0.61,3.86,14.00
201308042004.jpg,0.64,3.78,8.00
201308042204.jpg,0.63,4.21,19.00
201308050004.jpg,0.58,4.05,1.00
201308051004.jpg,0.43,4.29,2.00
201308051204.jpg,0.38,3.59,154.00
201308051403.jpg,0.40,2.02,-1.00
201308051804.jpg,0.30,2.04,220.00
201308052003.jpg,0.31,2.21,251.00
201308052203.jpg,0.33,2.65,263.00
201308060004.jpg,0.42,3.21,269.00
201308061203.jpg,0.33,2.03,186.00
201308061403.jpg,0.29,2.02,247.00
201308061603.jpg,0.35,2.74,255.00
201308061804.jpg,0.29,2.87,0.00
201308062004.jpg,0.16,2.49,243.00
201308062204.jpg,0.18,2.17,225.00
201308071004.jpg,0.31,2.35,252.00
201308071204.jpg,0.42,2.62,231.00
201308071404.jpg,0.35,2.97,257.00
201308071603.jpg,0.25,2.88,262.00
201308071803.jpg,0.23,2.33,275.00
201308072204.jpg,0.17,2.05,226.00
201308080004.jpg,0.11,2.45,3.00
201308081004.jpg,0.91,4.17,12.00
201308081204.jpg,1.01,4.34,0.00
201308081404.jpg,0.94,4.65,5.00
201308081603.jpg,0.97,4.75,1.00
201308081803.jpg,0.78,4.70,356.00
201308082003.jpg,0.83,4.63,180.00
201308082204.jpg,0.89,4.04,14.00
201308090004.jpg,1.17,4.17,0.00
201308091004.jpg,0.59,4.68,7.00
201308091203.jpg,0.49,4.56,352.00
201308091403.jpg,0.39,4.17,349.00
201308091603.jpg,0.37,3.82,46.00
201308091804.jpg,0.29,3.54,23.00
201308092004.jpg,0.23,2.98,23.00
201308092204.jpg,0.16,2.85,35.00
201308100004.jpg,0.14,2.68,-1.00
201308101004.jpg,0.22,2.06,-1.00
201308101203.jpg,0.40,2.06,180.00
201308101404.jpg,0.46,3.15,0.00
201308101603.jpg,0.35,3.42,17.00
201308101804.jpg,0.33,3.47,20.00
201308101935.jpg,0.39,3.38,0.00
201308102204.jpg,0.51,2.82,34.00
201308110004.jpg,0.50,3.10,34.00
201308111203.jpg,0.21,2.79,358.00
201308111403.jpg,0.17,2.73,351.00
201308111603.jpg,0.18,2.87,-1.00
201308111804.jpg,0.18,2.42,111.00
201308112004.jpg,0.20,2.55,14.00
201308112204.jpg,0.21,2.22,132.00
201308121203.jpg,0.44,2.84,-1.00
201308121403.jpg,0.38,2.95,255.00
201308121604.jpg,0.28,2.69,267.00
201308121804.jpg,0.23,2.56,259.00
201308122004.jpg,0.19,2.46,270.00
201308122204.jpg,0.24,2.45,273.00
201308130004.jpg,0.24,2.22,278.00
201308131203.jpg,2.25,5.99,15.00
201308131403.jpg,2.35,6.67,20.00
201308131603.jpg,1.99,6.45,20.00
201308131804.jpg,2.06,6.63,21.00
201308132004.jpg,1.90,6.95,42.00
201308132204.jpg,1.93,6.47,20.00
201308140004.jpg,1.81,6.77,10.00
201308141004.jpg,1.33,5.83,33.00
201308141203.jpg,1.31,5.90,0.00
201308141403.jpg,1.17,5.98,355.00
201308141603.jpg,1.25,6.09,26.00
201308141804.jpg,1.11,6.60,0.00
201308142003.jpg,1.05,6.20,339.00
201308142204.jpg,0.85,5.87,33.00
201308150004.jpg,0.70,5.65,327.00
201308151204.jpg,0.29,4.11,13.00
201308151403.jpg,0.35,2.46,268.00
201308151603.jpg,0.45,2.61,285.00
201308151804.jpg,0.27,2.87,282.00
201308152003.jpg,0.23,2.86,283.00
201308152204.jpg,0.17,2.59,4.00
201308161603.jpg,0.13,2.38,316.00
201308161804.jpg,0.14,2.66,316.00
201308162004.jpg,0.15,2.79,322.00
201308171204.jpg,0.18,2.05,74.00
201308171404.jpg,0.20,2.08,-1.00
201308171604.jpg,0.18,2.12,68.00
201308171803.jpg,0.19,2.19,156.00
201308171934.jpg,0.26,2.06,38.00
201308180004.jpg,0.29,2.13,30.00
201308191203.jpg,0.11,3.13,-1.00
201308191403.jpg,0.10,2.31,-1.00
201308191604.jpg,0.07,2.15,268.00
201308191733.jpg,0.09,2.13,-1.00
201308211403.jpg,0.17,2.13,263.00
201308211603.jpg,0.15,2.03,248.00
201308212004.jpg,0.12,2.15,304.00
201308212204.jpg,0.13,2.13,-1.00
201308221203.jpg,0.45,2.67,289.00
201308221403.jpg,0.52,3.25,-1.00
201308221534.jpg,0.68,3.49,275.00
201308221804.jpg,1.41,4.17,294.00
201308222004.jpg,1.41,4.77,328.00
201308222204.jpg,0.92,4.34,340.00
201308230004.jpg,0.68,4.90,86.00
201308231203.jpg,0.58,4.50,30.00
201308231403.jpg,0.63,4.04,12.00
201308231604.jpg,0.66,4.06,8.00
201308231704.jpg,0.60,4.10,-1.00
201308232004.jpg,0.52,3.97,360.00
201308232204.jpg,0.48,3.71,9.00
201308240004.jpg,0.49,3.32,13.00
201308241204.jpg,0.30,3.35,22.00
201308241404.jpg,0.37,2.65,160.00
201308242204.jpg,0.18,2.15,320.00
201308251204.jpg,0.39,2.18,191.00
201308251403.jpg,0.26,2.09,240.00
201308251603.jpg,0.20,2.17,-1.00
201308251804.jpg,0.21,2.08,217.00
201308252004.jpg,0.19,2.25,238.00
201308252204.jpg,0.27,2.42,90.00
201308260004.jpg,0.26,2.18,217.00
201308261204.jpg,0.44,2.78,277.00
201308261403.jpg,0.36,2.71,258.00
201308261604.jpg,0.29,2.77,265.00
201308261804.jpg,0.22,2.60,263.00
201308262004.jpg,0.18,2.11,263.00
201308262204.jpg,0.24,2.36,225.00
201308270004.jpg,0.26,2.28,239.00
201308271203.jpg,0.33,2.92,244.00
201308271403.jpg,0.27,2.69,254.00
201308271603.jpg,0.19,2.69,281.00
201308271804.jpg,0.19,2.56,253.00
201308272003.jpg,0.21,2.66,282.00
201308272204.jpg,0.36,2.25,251.00
201308280004.jpg,0.49,2.86,251.00
201308281203.jpg,0.33,3.38,278.00
