id,H,T,MWDIR
201306131133.jpg,2.06,4.5,282.0
201306131333.jpg,1.49,4.64,325.0
201306131733.jpg,1.7,6.33,14.0
201306131934.jpg,1.51,6.23,1.0
201306141133.jpg,0.68,4.66,343.0
201306141333.jpg,0.68,5.24,-1.0
201306141534.jpg,0.61,3.93,348.0
201306141734.jpg,0.55,3.97,9.0
201306142134.jpg,0.41,3.92,3.0
201306151134.jpg,0.16,99.0,10.0
201306151303.jpg,0.32,99.0,234.0
201306151533.jpg,0.25,2.27,-1.0
201306151733.jpg,0.19,99.0,166.0
201306151934.jpg,0.25,99.0,191.0
201306152134.jpg,0.36,99.0,349.0
201306161133.jpg,0.25,2.46,271.0
201306161533.jpg,0.15,2.11,246.0
201306162134.jpg,0.18,2.29,-1.0
201306171134.jpg,0.07,99.0,-1.0
201306171304.jpg,0.08,99.0,-1.0
201306171533.jpg,0.07,99.0,-1.0
201306172134.jpg,0.53,99.0,180.0
201306181203.jpg,1.11,99.0,357.0
201306181404.jpg,1.38,99.0,180.0
201306181603.jpg,1.43,99.0,347.0
201306182003.jpg,1.98,99.0,359.0
201306190004.jpg,0.96,99.0,4.0
201306191204.jpg,0.53,99.0,358.0
201306191604.jpg,0.49,99.0,180.0
201306191804.jpg,0.39,99.0,31.0
201306192005.jpg,0.36,99.0,30.0
201306201004.jpg,0.17,99.0,-1.0
201306201204.jpg,0.09,99.0,73.0
201306201403.jpg,0.14,99.0,-1.0
201306201604.jpg,0.2,99.0,72.0
201306201804.jpg,0.22,99.0,55.0
201306202203.jpg,0.17,99.0,52.0
201306210004.jpg,0.17,99.0,353.0
201306211004.jpg,0.29,99.0,199.0
201306211403.jpg,0.23,99.0,-1.0
201306211603.jpg,0.5,99.0,-1.0
201306212204.jpg,0.19,99.0,-1.0
201306221004.jpg,0.16,99.0,247.0
201306221203.jpg,0.12,99.0,-1.0
201306221403.jpg,0.32,99.0,33.0
201306221603.jpg,0.32,99.0,-1.0
201306221804.jpg,0.18,99.0,20.0
201306222004.jpg,0.11,99.0,323.0
201306230004.jpg,0.2,99.0,-1.0
201306231004.jpg,0.3,99.0,191.0
201306231603.jpg,0.28,99.0,209.0
201306231804.jpg,0.4,99.0,249.0
201306232004.jpg,0.32,99.0,90.0
201306232204.jpg,0.35,99.0,238.0
201306240004.jpg,0.23,99.0,253.0
201306241004.jpg,0.37,99.0,244.0
201306241203.jpg,0.2,99.0,257.0
201306241403.jpg,0.31,99.0,202.0
201306241603.jpg,0.24,99.0,234.0
201306242004.jpg,0.55,99.0,262.0
201306251804.jpg,0.23,99.0,250.0
201306252003.jpg,0.17,99.0,257.0
201306252204.jpg,0.18,99.0,289.0
201306260004.jpg,0.27,99.0,-1.0
201306261004.jpg,0.29,99.0,129.0
201306261203.jpg,0.46,99.0,181.0
201306261603.jpg,0.24,99.0,247.0
201306261804.jpg,0.14,99.0,-1.0
201306262204.jpg,0.1,99.0,90.0
201306270004.jpg,0.1,99.0,-1.0
201306271203.jpg,0.19,99.0,-1.0
201306271403.jpg,0.13,99.0,41.0
201306271804.jpg,0.09,99.0,-1.0
201306272004.jpg,0.33,99.0,27.0
201306280004.jpg,0.36,99.0,308.0
201306281004.jpg,0.34,99.0,332.0
201306281203.jpg,0.23,99.0,330.0
201306281604.jpg,0.21,99.0,315.0
201306281804.jpg,0.35,99.0,259.0
201306290004.jpg,0.39,99.0,327.0
201306291203.jpg,0.81,99.0,352.0
201306291404.jpg,0.81,99.0,358.0
201306291603.jpg,1.14,99.0,180.0
201306292004.jpg,1.64,99.0,10.0
201306300004.jpg,1.23,99.0,356.0
201306301004.jpg,1.06,99.0,2.0
201306301404.jpg,1.09,99.0,355.0
201306301604.jpg,1.44,99.0,358.0
201306301803.jpg,1.56,99.0,0.0
201306302004.jpg,1.61,99.0,348.0
201306302204.jpg,1.48,99.0,355.0
201307011004.jpg,1.17,99.0,14.0
201307011203.jpg,1.21,99.0,7.0
201307011404.jpg,1.52,99.0,33.0
201307011604.jpg,1.51,99.0,180.0
201307011804.jpg,1.1,99.0,354.0
201307012004.jpg,1.11,99.0,357.0
201307012204.jpg,1.0,99.0,359.0
201307021004.jpg,1.02,99.0,16.0
201307021203.jpg,1.31,99.0,0.0
201307021403.jpg,1.03,99.0,42.0
201307021603.jpg,1.01,99.0,306.0
201307022003.jpg,1.24,99.0,28.0
201307030004.jpg,0.86,99.0,27.0
201307031004.jpg,0.45,99.0,12.0
201307031203.jpg,0.38,99.0,21.0
201307031403.jpg,0.33,99.0,358.0
201307031804.jpg,0.32,99.0,347.0
201307032003.jpg,0.27,99.0,357.0
201307032134.jpg,0.23,99.0,354.0
